證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,6916829,1835,594801990,86.15,86.2,85.8,85.8,0.7,85.75,48,85.8,1164,0.0
0051,11300,14,390440,34.6,34.6,34.42,34.42,0.18,34.26,1,34.27,1,0.0
0052,106610,16,6583725,62.05,62.05,61.65,61.8,0.45,61.65,1,61.7,1,0.0
0053,33000,15,1260820,38.5,38.5,38.1,38.1,0.4,37.91,15,38.1,16,0.0
0054,3000,2,69130,23.13,23.13,23.0,23.0,0.17,22.86,27,23.0,6,0.0
0055,28150,17,523242,18.64,18.64,18.57,18.57,0.08,18.55,3,18.57,13,0.0
0056,21754179,8701,615963648,28.42,28.42,28.25,28.28,0.16,28.28,126,28.29,2,0.0
0057,24000,6,1310300,54.6,54.6,54.55,54.6,0.1,54.4,1,54.5,20,0.0
0058,20000,2,930000,46.5,46.5,46.5,46.5,0.33,45.64,1,46.33,5,0.0
0059,2000,2,94460,47.23,47.23,47.23,47.23,0.03,46.9,1,47.11,23,0.0
0061,336637,128,5921779,17.59,17.65,17.5,17.59,0.13,17.59,6,17.6,32,0.0
006203,34000,5,1380420,40.59,40.64,40.26,40.26,0.16,40.26,5,40.31,42,0.0
006204,40000,2,2254000,56.35,56.35,56.35,56.35,0.3,55.95,50,56.1,50,0.0
006205,1689909,211,51443897,30.33,30.56,30.33,30.45,0.31,30.44,200,30.45,4,0.0
006206,144990,99,4664936,32.3,32.9,32.05,32.17,0.33,32.17,7,32.23,5,0.0
006207,51031,13,1163395,22.9,22.9,22.7,22.75,0.29,22.8,1,22.83,1,0.0
006208,517600,209,25149458,48.79,48.79,48.47,48.47,0.34,48.46,2,48.47,5,0.0
00625K,50000,2,356500,7.13,7.13,7.13,7.13,0.01,7.06,5,7.21,5,0.0
00631L,1506000,473,65294710,43.53,43.63,43.12,43.12,0.77,43.11,20,43.12,32,0.0
00632R,30869321,2819,342441128,11.07,11.12,11.06,11.12,0.09,11.12,1746,11.13,1013,0.0
00633L,15641100,2907,731873598,46.4,47.45,46.3,46.91,0.58,46.91,237,46.93,7,0.0
00634R,1048000,78,6324520,6.05,6.06,6.01,6.02,0.03,6.02,55,6.03,40,0.0
